currency,usd_rate,rate_note
INR,0.01205,indicative - approx 83 INR per USD
USD,1.0,base currency
GBP,1.27,indicative
JPY,0.0067,indicative - approx 149 JPY per USD
HKD,0.128,indicative - approx 7.8 HKD per USD
SGD,0.74,indicative - approx 1.35 SGD per USD
CHF,1.13,indicative - approx 0.885 CHF per USD
AUD,0.66,indicative - approx 1.52 AUD per USD
